City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,inirida,3.8653,-67.9239,24.99,92,100,1.35,CO,1699835686
301,nabire,-3.3667,135.4833,30.35,61,100,1.78,ID,1699835686
302,ginir,7.1333,40.7,15.02,83,97,1.82,ET,1699835686
303,ulsteinvik,62.3432,5.8487,2.64,76,0,0.89,NO,1699835686
304,whitehorse,60.7161,-135.0538,-2.57,80,75,3.09,CA,1699835686
305,udachny,66.4167,112.4,-13.08,92,100,3.31,RU,1699835687
306,wajir,1.7471,40.0573,25.32,81,97,3.44,KE,1699835687
307,vaison-la-romaine,44.239,5.075,9.9,100,100,0.0,FR,1699835687
308,vilyuchinsk,52.9306,158.4028,-0.85,66,45,2.9,RU,1699835687
309,daru,-9.0763,143.2092,26.93,68,80,3.44,PG,1699835687
310,sinabang,2.4803,96.3801,26.94,82,100,1.8,ID,1699835688
311,vorkuta,67.5,64.0,-11.81,97,73,3.17,RU,1699835688
312,ifrane,33.3333,-5.25,12.51,43,100,1.3,MA,1699835688
313,ariquemes,-9.9133,-63.0408,23.78,94,83,0.44,BR,1699835688
314,linhares,-19.3911,-40.0722,24.34,80,39,2.19,BR,1699835688
315,tara,56.8944,74.371,0.63,99,100,1.84,RU,1699835688
316,geraldton,-28.7667,114.6,23.23,64,0,2.57,AU,1699835459
317,mahina,-17.5065,-149.489,29.87,70,75,4.63,PF,1699835689
318,koscierzyna,54.1223,17.9812,7.35,90,100,2.28,PL,1699835689
319,inhambane,-23.865,35.3833,23.48,83,96,3.21,MZ,1699835689
320,saint-pierre,-21.3393,55.4781,20.82,60,0,4.12,RE,1699835689
321,murun-kuren,49.6342,100.1625,-9.83,51,1,1.49,MN,1699835689
322,ed damer,17.5928,33.9592,28.94,39,69,2.03,SD,1699835689
323,manismata,-2.4667,111.0333,23.58,97,100,0.75,ID,1699835689
324,kapuskasing,49.4169,-82.4331,2.0,87,100,6.17,CA,1699835690
325,tambopata,-12.7333,-69.1833,28.43,60,95,1.1,PE,1699835690
326,cruzeiro do sul,-29.5128,-51.9853,22.5,94,100,0.47,BR,1699835690
327,luwuk,-0.9516,122.7875,30.4,65,19,2.42,ID,1699835690
328,red wing,44.5625,-92.5338,11.08,50,0,1.54,US,1699835690
329,forster,-32.1667,152.5167,23.54,70,65,5.17,AU,1699835691
330,arteche,12.2645,125.4048,28.52,83,100,3.79,PH,1699835691
331,charters towers,-20.1,146.2667,30.35,31,0,6.07,AU,1699835691
332,rupert,42.6191,-113.6772,11.97,35,0,0.0,US,1699835691
333,pantai remis,4.4557,100.6288,28.01,82,84,1.02,MY,1699835691
